song,feature,score,playlist
28,danceability,0.501,2020
28,energy,0.765,2020
28,key,6,2020
28,loudness,-7.063,2020
28,mode,0,2020
28,speechiness,0.0281,2020
28,acousticness,0.00294,2020
28,instrumentalness,0.49,2020
28,liveness,0.184,2020
28,valence,0.46,2020
28,tempo,91.769,2020
28,type,audio_features,2020
28,id,2OFrAsP5Vrcb0DtsPNsm54,2020
28,uri,spotify,2020
28,track_href,https,2020
28,analysis_url,https,2020
28,duration_ms,190846,2020
28,time_signature,4,2020
29,danceability,0.724,2020
29,energy,0.48,2020
29,key,2,2020
29,loudness,-7.537,2020
29,mode,1,2020
29,speechiness,0.0342,2020
29,acousticness,0.211,2020
29,instrumentalness,0.0772,2020
29,liveness,0.289,2020
29,valence,0.591,2020
29,tempo,125.007,2020
29,type,audio_features,2020
29,id,4gwltSjdrzKtKz9dlk2Wja,2020
29,uri,spotify,2020
29,track_href,https,2020
29,analysis_url,https,2020
29,duration_ms,187415,2020
29,time_signature,4,2020
30,danceability,0.559,2020
30,energy,0.32,2020
30,key,6,2020
30,loudness,-7.694,2020
30,mode,1,2020
30,speechiness,0.0414,2020
30,acousticness,0.0644,2020
30,instrumentalness,0.132,2020
30,liveness,0.173,2020
30,valence,0.497,2020
30,tempo,147.366,2020
30,type,audio_features,2020
30,id,0nMqu5vN44GNv8UOQxmBJK,2020
30,uri,spotify,2020
30,track_href,https,2020
30,analysis_url,https,2020
30,duration_ms,341200,2020
30,time_signature,4,2020
31,danceability,0.393,2020
31,energy,0.481,2020
31,key,1,2020
31,loudness,-10.462,2020
31,mode,1,2020
31,speechiness,0.0273,2020
31,acousticness,0.758,2020
31,instrumentalness,0.73,2020
31,liveness,0.0869,2020
31,valence,0.0763,2020
31,tempo,98.462,2020
31,type,audio_features,2020
31,id,0bxcUgWlOURkU6lZt4zog0,2020
31,uri,spotify,2020
31,track_href,https,2020
31,analysis_url,https,2020
31,duration_ms,318379,2020
31,time_signature,4,2020
32,danceability,0.788,2020
32,energy,0.802,2020
32,key,8,2020
32,loudness,-6.159,2020
32,mode,1,2020
32,speechiness,0.039,2020
32,acousticness,0.203,2020
32,instrumentalness,0.865,2020
32,liveness,0.154,2020
32,valence,0.919,2020
32,tempo,129.959,2020
32,type,audio_features,2020
32,id,1id0zv3eTLHzjzzEysoxoO,2020
32,uri,spotify,2020
32,track_href,https,2020
32,analysis_url,https,2020
32,duration_ms,157826,2020
32,time_signature,4,2020
33,danceability,0.593,2020
33,energy,0.779,2020
33,key,8,2020
33,loudness,-4.269,2020
33,mode,0,2020
33,speechiness,0.0429,2020
33,acousticness,0.0419,2020
33,instrumentalness,0,2020
33,liveness,0.312,2020
33,valence,0.443,2020
33,tempo,124.539,2020
33,type,audio_features,2020
33,id,7utenMA93Ldpg9O5oC6AP4,2020
33,uri,spotify,2020
33,track_href,https,2020
33,analysis_url,https,2020
33,duration_ms,234503,2020
33,time_signature,4,2020
34,danceability,0.954,2020
34,energy,0.537,2020
34,key,7,2020
34,loudness,-6.871,2020
34,mode,1,2020
34,speechiness,0.0901,2020
34,acousticness,0.0723,2020
34,instrumentalness,0.0569,2020
34,liveness,0.218,2020
34,valence,0.525,2020
34,tempo,116.964,2020
34,type,audio_features,2020
34,id,6cLxofxCjrFpQYtifjK5Vf,2020
34,uri,spotify,2020
34,track_href,https,2020
34,analysis_url,https,2020
34,duration_ms,196170,2020
34,time_signature,4,2020
35,danceability,0.603,2020
35,energy,0.918,2020
35,key,4,2020
35,loudness,-6.652,2020
35,mode,0,2020
35,speechiness,0.0641,2020
35,acousticness,0.216,2020
35,instrumentalness,0.146,2020
35,liveness,0.287,2020
35,valence,0.452,2020
35,tempo,102.473,2020
35,type,audio_features,2020
35,id,0vAb3U3NJhiuib2B7sJdeJ,2020
35,uri,spotify,2020
35,track_href,https,2020
35,analysis_url,https,2020
35,duration_ms,233655,2020
35,time_signature,4,2020
36,danceability,0.541,2020
36,energy,0.82,2020
36,key,6,2020
36,loudness,-6.458,2020
36,mode,1,2020
36,speechiness,0.104,2020
36,acousticness,0.788,2020
36,instrumentalness,0.841,2020
36,liveness,0.123,2020
36,valence,0.846,2020
36,tempo,154.04,2020
36,type,audio_features,2020
36,id,0UcuSr7oi0AUbEaLGwukW0,2020
36,uri,spotify,2020
36,track_href,https,2020
36,analysis_url,https,2020
36,duration_ms,134336,2020
36,time_signature,4,2020
37,danceability,0.843,2020
37,energy,0.594,2020
37,key,5,2020
37,loudness,-6.934,2020
37,mode,1,2020
37,speechiness,0.0414,2020
37,acousticness,0.0816,2020
37,instrumentalness,4.55e-06,2020
37,liveness,0.043,2020
37,valence,0.766,2020
37,tempo,113.997,2020
37,type,audio_features,2020
37,id,7qKZHYT4bfX6q6vQywt9VT,2020
37,uri,spotify,2020
37,track_href,https,2020
37,analysis_url,https,2020
37,duration_ms,243158,2020
37,time_signature,4,2020
38,danceability,0.598,2020
38,energy,0.553,2020
38,key,9,2020
38,loudness,-6.742,2020
38,mode,0,2020
38,speechiness,0.0397,2020
38,acousticness,0.562,2020
38,instrumentalness,0.157,2020
38,liveness,0.257,2020
38,valence,0.533,2020
38,tempo,123.075,2020
38,type,audio_features,2020
38,id,6qZjm61s6u8Ead9sWxCDro,2020
38,uri,spotify,2020
38,track_href,https,2020
38,analysis_url,https,2020
38,duration_ms,211227,2020
38,time_signature,4,2020
39,danceability,0.535,2020
39,energy,0.725,2020
39,key,7,2020
39,loudness,-5.493,2020
39,mode,1,2020
39,speechiness,0.0309,2020
39,acousticness,0.666,2020
39,instrumentalness,0.29,2020
39,liveness,0.162,2020
39,valence,0.561,2020
39,tempo,161.679,2020
39,type,audio_features,2020
39,id,6TDZDeTpzDl4v4cbqECsmQ,2020
39,uri,spotify,2020
39,track_href,https,2020
39,analysis_url,https,2020
39,duration_ms,202733,2020
39,time_signature,4,2020
40,danceability,0.537,2020
40,energy,0.558,2020
40,key,11,2020
40,loudness,-8.678,2020
40,mode,1,2020
40,speechiness,0.0929,2020
40,acousticness,0.263,2020
40,instrumentalness,0.91,2020
40,liveness,0.102,2020
40,valence,0.505,2020
40,tempo,131.037,2020
40,type,audio_features,2020
40,id,1MJ5f5EYBC92ADD6xcz7nb,2020
40,uri,spotify,2020
40,track_href,https,2020
40,analysis_url,https,2020
40,duration_ms,231724,2020
40,time_signature,4,2020
41,danceability,0.471,2020
41,energy,0.881,2020
41,key,11,2020
41,loudness,-4.483,2020
41,mode,0,2020
41,speechiness,0.0461,2020
41,acousticness,0.0588,2020
41,instrumentalness,0.000378,2020
41,liveness,0.26,2020
41,valence,0.547,2020
41,tempo,169.881,2020
41,type,audio_features,2020
41,id,1GHjBjnMJQ420waXq6Ut6I,2020
41,uri,spotify,2020
41,track_href,https,2020
41,analysis_url,https,2020
41,duration_ms,158573,2020
41,time_signature,4,2020
42,danceability,0.369,2020
42,energy,0.671,2020
42,key,1,2020
42,loudness,-6.504,2020
42,mode,0,2020
42,speechiness,0.0346,2020
42,acousticness,0.165,2020
42,instrumentalness,0.00765,2020
42,liveness,0.118,2020
42,valence,0.537,2020
42,tempo,144.909,2020
42,type,audio_features,2020
42,id,0s2mDwSz2RvcHE3DYhSkL2,2020
42,uri,spotify,2020
42,track_href,https,2020
42,analysis_url,https,2020
42,duration_ms,305040,2020
42,time_signature,4,2020
43,danceability,0.347,2020
43,energy,0.198,2020
43,key,1,2020
43,loudness,-14.755,2020
43,mode,1,2020
43,speechiness,0.0339,2020
43,acousticness,0.884,2020
43,instrumentalness,0.00519,2020
43,liveness,0.216,2020
43,valence,0.376,2020
43,tempo,75.895,2020
43,type,audio_features,2020
43,id,0C9uCmroJIKf8ClqMOZ97j,2020
43,uri,spotify,2020
43,track_href,https,2020
43,analysis_url,https,2020
43,duration_ms,227707,2020
43,time_signature,4,2020
44,danceability,0.709,2020
44,energy,0.496,2020
44,key,1,2020
44,loudness,-10.528,2020
44,mode,0,2020
44,speechiness,0.0417,2020
44,acousticness,0.581,2020
44,instrumentalness,0.195,2020
44,liveness,0.151,2020
